#Letra FAbs. Frel.
A	117033	15.7008
B	13843	1.85714
C	41042	5.50607
D	31617	4.24164
E	73540	9.86591
F	8183	1.09781
G	12836	1.72204
H	7049	0.945673
I	61404	8.23778
J	4793	0.643015
L	35346	4.74192
M	23197	3.11204
N	46634	6.25628
O	68987	9.25509
P	17255	2.31488
Q	2801	0.375774
R	69570	9.33331
S	31237	4.19066
T	40083	5.37742
U	23359	3.13377
V	7518	1.00859
X	1166	0.156427
Y	1103	0.147975
Z	5799	0.777977
